Job,Name,Frequency
Executive Producer,Stan Lee,20
Executive Producer,Steven Spielberg,20
Executive Producer,Bruce Berman,17
Executive Producer,Thomas Tull,15
Executive Producer,John Lasseter,15
Executive Producer,Bob Weinstein,14
Executive Producer,Harvey Weinstein,12
Executive Producer,Louis D'Esposito,11
Executive Producer,Alan Fine,10
Executive Producer,Chad Oman,10
Art Direction,David F. Klassen,9
Art Direction,Ravi Bansal,9
Art Direction,Andrew Ackland-Snow,8
Art Direction,Phil Harvey,7
Art Direction,William Ladd Skinner,7
Art Direction,Keith P. Cunningham,7
Art Direction,William James Teegarden,7
Art Direction,Sean Haworth,6
Art Direction,Dawn Swiderski,6
Art Direction,Gary Tomkins,6
Casting,Debra Zane,22
Casting,Janet Hirshenson,20
Casting,Francine Maisler,19
Casting,Sarah Finn,19
Casting,Jane Jenkins,18
Casting,Ronna Kress,16
Casting,Denise Chamian,14
Casting,John Papsidera,14
Casting,Mary Hidalgo,14
Casting,Roger Mussenden,13
Editor,Michael Kahn,23
Editor,Chris Lebenzon,14
Editor,Paul Rubell,11
Editor,Roger Barton,11
Editor,Lee Smith,10
Editor,David Brenner,9
Editor,Pietro Scalia,9
Editor,Mark Goldblatt,9
Editor,Richard Francis-Bruce,9
Editor,William Hoy,8
Animation,Larry White,9
Animation,Emilio Ghorayeb,8
Animation,Yuhon Ng,8
Animation,Tony Mecca,8
Animation,Michael Parks,8
Animation,Jimmy Almeida,8
Animation,Steve Cunningham,8
Animation,Chuck Duke,8
Animation,Travis Tohill,7
Animation,Mike Dharney,7
Visual Effects Supervisor,Craig Barron,8
Visual Effects Supervisor,John Bruno,7
Visual Effects Supervisor,Guy Williams,7
Visual Effects Supervisor,R. Christopher White,6
Visual Effects Supervisor,Edson Williams,6
Visual Effects Supervisor,Dottie Starling,6
Visual Effects Supervisor,Peter Chiang,5
Visual Effects Supervisor,Colin Strause,5
Visual Effects Supervisor,Vincent Cirelli,5
Visual Effects Supervisor,Angela Barson,5
Camera Operator,Mitch Dubin,9
Camera Operator,Stephen S. Campanelli,9
Camera Operator,Clive Jackson,6
Camera Operator,P. Scott Sakamoto,6
Camera Operator,Maurice K. McGuire,6
Camera Operator,Greg Baldi,5
Camera Operator,Ian Fox,5
Camera Operator,Chris Haarhoff,5
Camera Operator,Peter Field,4
Camera Operator,Lucas Bielan,4
Original Music Composer,John Williams,35
Original Music Composer,Hans Zimmer,32
Original Music Composer,James Newton Howard,32
Original Music Composer,Danny Elfman,24
Original Music Composer,John Powell,23
Original Music Composer,James Horner,17
Original Music Composer,Alan Silvestri,15
Original Music Composer,Howard Shore,13
Original Music Composer,Michael Giacchino,13
Original Music Composer,Harry Gregson-Williams,11
Director of Photography,Janusz Kamiński,13
Director of Photography,Dean Cundey,12
Director of Photography,John Seale,11
Director of Photography,Andrew Lesnie,10
Director of Photography,Dariusz Wolski,9
Director of Photography,Dean Semler,9
Director of Photography,Robert Richardson,9
Director of Photography,David Tattersall,9
Director of Photography,John Schwartzman,8
Director of Photography,Bill Pope,7
Makeup Artist,Bill Corso,11
Makeup Artist,Ve Neill,10
Makeup Artist,Deborah La Mia Denaver,6
Makeup Artist,Daniel C. Striepeke,6
Makeup Artist,Sian Grigg,5
Makeup Artist,Angela Levin,4
Makeup Artist,Michèle Burke,4
Makeup Artist,Todd Kleitsch,4
Makeup Artist,Michal Bigger,4
Makeup Artist,Donald Mowat,3
