Job,Name,Frequency
Producer,Jerry Bruckheimer,16
Producer,Brian Grazer,14
Producer,Kathleen Kennedy,13
Producer,Kevin Feige,12
Producer,Frank Marshall,12
Producer,Neal H. Moritz,12
Producer,Steven Spielberg,12
Producer,Charles Roven,11
Producer,Avi Arad,10
Producer,David Heyman,10
Producer,Lauren Shuler Donner,10
Producer,Scott Rudin,10
Producer,Michael G. Wilson,9
Producer,Peter Jackson,9
Producer,Joel Silver,9
Producer,Wyck Godfrey,9
Producer,Jack Giarraputo,9
Producer,Barbara Broccoli,8
Producer,Colin Wilson,8
Producer,Richard D. Zanuck,8
Executive Producer,Stan Lee,20
Executive Producer,Steven Spielberg,20
Executive Producer,Bruce Berman,17
Executive Producer,Thomas Tull,15
Executive Producer,John Lasseter,15
Executive Producer,Bob Weinstein,14
Executive Producer,Harvey Weinstein,12
Executive Producer,Louis D'Esposito,11
Executive Producer,Alan Fine,10
Executive Producer,Chad Oman,10
Executive Producer,Dana Goldberg,10
Executive Producer,Michael Uslan,9
Executive Producer,George Lucas,9
Executive Producer,Kathleen Kennedy,9
Executive Producer,Mike Stenson,8
Executive Producer,Victoria Alonso,8
Executive Producer,Todd Hallowell,8
Executive Producer,Joseph M. Caracciolo Jr.,7
Executive Producer,Barry H. Waldman,7
Executive Producer,Barry Bernardi,7
Art Direction,David F. Klassen,9
Art Direction,Ravi Bansal,9
Art Direction,Andrew Ackland-Snow,8
Art Direction,Phil Harvey,7
Art Direction,William Ladd Skinner,7
Art Direction,Keith P. Cunningham,7
Art Direction,William James Teegarden,7
Art Direction,Sean Haworth,6
Art Direction,Dawn Swiderski,6
Art Direction,Gary Tomkins,6
Art Direction,Beat Frutiger,6
Art Direction,Helen Jarvis,6
Art Direction,Dan Hermansen,6
Art Direction,Jason Knox-Johnston,6
Art Direction,Scott Plauche,6
Art Direction,Lauren E. Polizzi,6
Art Direction,Steven Lawrence,6
Art Direction,Dean Wolcott,5
Art Direction,Alastair Bullock,5
Art Direction,Gregory S. Hooper,5
Screenplay,Ted Elliott,7
Screenplay,Terry Rossio,7
Screenplay,Andrew Stanton,7
Screenplay,Christopher Markus,7
Screenplay,Stephen McFeely,7
Screenplay,Akiva Goldsman,7
Screenplay,Steve Kloves,6
Screenplay,Christopher McQuarrie,6
Screenplay,David Koepp,6
Screenplay,Steven Zaillian,6
Screenplay,Sylvester Stallone,6
Screenplay,James Cameron,5
Screenplay,Peter Jackson,5
Screenplay,Fran Walsh,5
Screenplay,Philippa Boyens,5
Screenplay,Simon Kinberg,5
Screenplay,Tony Gilroy,5
Screenplay,Tim Herlihy,5
Screenplay,John Logan,4
Screenplay,Robert Wade,4
Casting,Debra Zane,22
Casting,Janet Hirshenson,20
Casting,Francine Maisler,19
Casting,Sarah Finn,19
Casting,Jane Jenkins,18
Casting,Ronna Kress,16
Casting,Denise Chamian,14
Casting,John Papsidera,14
Casting,Mary Hidalgo,14
Casting,Roger Mussenden,13
Casting,Mali Finn,12
Casting,Debbie McWilliams,12
Casting,John Hubbard,12
Casting,Lucinda Syson,12
Casting,Mary Vernieu,12
Casting,Avy Kaufman,12
Casting,Kevin Reher,11
Casting,Mindy Marin,11
Casting,Deborah Aquila,11
Casting,Victoria Burrows,10
Editor,Michael Kahn,23
Editor,Chris Lebenzon,14
Editor,Paul Rubell,11
Editor,Roger Barton,11
Editor,Lee Smith,10
Editor,David Brenner,9
Editor,Pietro Scalia,9
Editor,Mark Goldblatt,9
Editor,Richard Francis-Bruce,9
Editor,William Hoy,8
Editor,Jeffrey Ford,7
Editor,Richard Pearson,7
Editor,Don Zimmerman,7
Editor,Conrad Buff IV,7
Editor,Maryann Brandon,7
Editor,Neil Travis,7
Editor,Arthur Schmidt,7
Editor,John Ottman,6
Editor,Mark Helfrich,6
Editor,Martin Walsh,6
Animation,Larry White,9
Animation,Emilio Ghorayeb,8
Animation,Yuhon Ng,8
Animation,Tony Mecca,8
Animation,Michael Parks,8
Animation,Jimmy Almeida,8
Animation,Steve Cunningham,8
Animation,Chuck Duke,8
Animation,Travis Tohill,7
Animation,Mike Dharney,7
Animation,Angus MacLane,7
Animation,Dixie Pizani,7
Animation,Anthony Rizzo,6
Animation,Joel Foster,6
Animation,Erik Baker,6
Animation,Andrew Gordon,6
Animation,Andy Schmidt,6
Animation,James Baker,6
Animation,Andy Hass,6
Animation,Daniel Fotheringham,5
Director,Steven Spielberg,21
Director,Michael Bay,8
Director,Robert Zemeckis,8
Director,Bryan Singer,7
Director,Peter Jackson,7
Director,Ridley Scott,7
Director,Chris Columbus,7
Director,Tim Burton,6
Director,Roland Emmerich,6
Director,Martin Scorsese,6
Director,David Fincher,6
Director,Ron Howard,6
Director,M. Night Shyamalan,6
Director,James Cameron,5
Director,Christopher Nolan,5
Director,Barry Sonnenfeld,5
